index,close_time,transaction_id,positions,BTCUSDT_units,LUNCUSDT_units,entry_BTCUSDT_price,entry_LUNCUSDT_price,historical_BTCUSDT_mid,historical_LUNCUSDT_mid,historical_BTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,BTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,BTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
3152.0,2023-01-22 20:55:59.999,1.0,,0.0,0.0,,,22392.035,0.000176675,562.6725,195589636.68,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3153.0,2023-01-22 20:56:59.999,1.0,,0.0,0.0,,,22427.7,0.0001776449999999,445.59103,321706765.91,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3154.0,2023-01-22 20:57:59.999,1.0,,0.0,0.0,,,22437.53,0.0001773899999999,294.78301,164871201.2,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3155.0,2023-01-22 20:58:59.999,1.0,,0.0,0.0,,,22438.105,0.000177345,277.18091,112012777.48,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3156.0,2023-01-22 20:59:59.999,1.0,,0.0,0.0,,,22442.86,0.00017746,331.35205,107187786.95,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3157.0,2023-01-22 21:00:59.999,1.0,,0.0,0.0,,,22438.86,0.000177545,462.38529,127863620.01,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3158.0,2023-01-22 21:01:59.999,1.0,,0.0,0.0,,,22428.86,0.00017738,320.97493,74992039.92,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3159.0,2023-01-22 21:02:59.999,1.0,,0.0,0.0,,,22457.825,0.000178015,289.19449,101480820.63,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3160.0,2023-01-22 21:03:59.999,1.0,,0.0,0.0,,,22480.01,0.000178325,275.27036,48788071.29,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
3161.0,2023-01-22 21:04:59.999,1.0,,0.0,0.0,,,22471.775,0.000178365,194.19645,102038578.0,0.0,10015.001642760775,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0015001642760774647
