index,close_time,transaction_id,positions,LUNCUSDT_units,ATOMUSDT_units,entry_LUNCUSDT_price,entry_ATOMUSDT_price,historical_LUNCUSDT_mid,historical_ATOMUSDT_mid,historical_LUNCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LUNCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LUNCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1143.0,2023-01-21 06:55:59.999,,,0.0,0.0,,,0.000180665,13.394,244758423.14,464.95,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1144.0,2023-01-21 06:56:59.999,,,0.0,0.0,,,0.000180615,13.3735,47961565.65,422.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1145.0,2023-01-21 06:57:59.999,,,0.0,0.0,,,0.00018056,13.3825,94584858.53,140.93,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1146.0,2023-01-21 06:58:59.999,,,0.0,0.0,,,0.00018071,13.3875,40859839.91,258.43,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1147.0,2023-01-21 06:59:59.999,,,0.0,0.0,,,0.0001807299999999,13.3815,73381385.97,97.08,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1148.0,2023-01-21 07:00:59.999,,,0.0,0.0,,,0.000180695,13.3805,55576435.35,301.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1149.0,2023-01-21 07:01:59.999,,,0.0,0.0,,,0.00018082,13.382,40842541.03,535.51,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1150.0,2023-01-21 07:02:59.999,,,0.0,0.0,,,0.00018069,13.3725,162749740.03,2277.69,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1151.0,2023-01-21 07:03:59.999,,,0.0,0.0,,,0.00018072,13.3745,38826553.12,799.72,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1152.0,2023-01-21 07:04:59.999,,,0.0,0.0,,,0.00018071,13.3845,82968553.64,635.19,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1153.0,2023-01-21 07:05:59.999,,,0.0,0.0,,,0.00018069,13.3805,115121168.97,515.79,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1154.0,2023-01-21 07:06:59.999,,,0.0,0.0,,,0.00018072,13.369,80001766.77,1249.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
