index,close_time,transaction_id,positions,ETHUSDT_units,MATICUSDT_units,entry_ETHUSDT_price,entry_MATICUSDT_price,historical_ETHUSDT_mid,historical_MATICUSDT_mid,historical_ETHUSDT_vol,historical_MATICUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,MATICUSDT_raw_pnl,ETHUSDT_cost,MATICUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
924.0,2023-01-21 08:07:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.835,1.0249,76.1776,44735.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
925.0,2023-01-21 08:08:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.71,1.0253,117.5111,41290.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
926.0,2023-01-21 08:09:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.72,1.02555,176.6422,40809.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
927.0,2023-01-21 08:10:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.925,1.0255999999999998,411.919,89995.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
928.0,2023-01-21 08:11:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.63,1.02475,180.8717,28684.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
929.0,2023-01-21 08:12:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.835,1.02565,309.9287,65278.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
930.0,2023-01-21 08:13:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.8200000000002,1.026,876.4576,63931.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
931.0,2023-01-21 08:14:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1653.52,1.0262,340.9401,52866.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
932.0,2023-01-21 08:15:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.98,1.0252,160.2855,27945.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
933.0,2023-01-21 08:16:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.005,1.0238999999999998,213.428,143035.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
934.0,2023-01-21 08:17:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1651.89,1.02385,65.3067,12877.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
935.0,2023-01-21 08:18:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.405,1.024,161.1901,24319.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
936.0,2023-01-21 08:19:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.51,1.0237,140.8663,31226.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
937.0,2023-01-21 08:20:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1652.29,1.02335,174.4153,29278.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
