index,close_time,transaction_id,positions,XRPUSDT_units,ATOMUSDT_units,entry_XRPUSDT_price,entry_ATOMUSDT_price,historical_XRPUSDT_mid,historical_ATOMUSDT_mid,historical_XRPUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,ATOMUSDT_raw_pnl,XRPUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
61.0,2023-01-20 17:59:59.999,,,0.0,0.0,,,0.39635,12.691,157461.0,946.44,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
62.0,2023-01-20 18:00:59.999,,,0.0,0.0,,,0.3964499999999999,12.701,635402.0,3618.28,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
63.0,2023-01-20 18:01:59.999,,,0.0,0.0,,,0.39675,12.7145,368661.0,2186.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
64.0,2023-01-20 18:02:59.999,,,0.0,0.0,,,0.3974,12.715,388654.0,4722.79,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
65.0,2023-01-20 18:03:59.999,,,0.0,0.0,,,0.3976,12.7155,2168715.0,2191.88,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
66.0,2023-01-20 18:04:59.999,,,0.0,0.0,,,0.3978,12.6995,172194.0,9042.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
67.0,2023-01-20 18:05:59.999,,,0.0,0.0,,,0.3975999999999999,12.687,119894.0,1173.47,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
68.0,2023-01-20 18:06:59.999,,,0.0,0.0,,,0.39735,12.668,65562.0,9618.83,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
69.0,2023-01-20 18:07:59.999,,,0.0,0.0,,,0.3971,12.644,268868.0,2925.69,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
70.0,2023-01-20 18:08:59.999,,,0.0,0.0,,,0.39695,12.635,190209.0,4634.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
71.0,2023-01-20 18:09:59.999,,,0.0,0.0,,,0.397,12.645499999999998,137293.0,3238.75,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
72.0,2023-01-20 18:10:59.999,,,0.0,0.0,,,0.3969,12.6445,130006.0,2395.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
73.0,2023-01-20 18:11:59.999,,,0.0,0.0,,,0.3965499999999999,12.6425,139546.0,1082.34,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
74.0,2023-01-20 18:12:59.999,,,0.0,0.0,,,0.39625,12.6575,821230.0,1668.72,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
75.0,2023-01-20 18:13:59.999,,,0.0,0.0,,,0.39605,12.677,504798.0,991.55,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
76.0,2023-01-20 18:14:59.999,,,0.0,0.0,,,0.3962,12.6915,492802.0,2442.01,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
77.0,2023-01-20 18:15:59.999,,,0.0,0.0,,,0.39625,12.7005,193658.0,1250.57,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
78.0,2023-01-20 18:16:59.999,,,0.0,0.0,,,0.3964,12.7105,461692.0,2213.66,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
79.0,2023-01-20 18:17:59.999,,,0.0,0.0,,,0.39595,12.699,268051.0,1979.18,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
80.0,2023-01-20 18:18:59.999,,,0.0,0.0,,,0.39575,12.6965,273990.0,1333.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
81.0,2023-01-20 18:19:59.999,,,0.0,0.0,,,0.3957,12.693,252464.0,1552.27,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
82.0,2023-01-20 18:20:59.999,,,0.0,0.0,,,0.3957,12.7035,288590.0,1058.65,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
83.0,2023-01-20 18:21:59.999,,,0.0,0.0,,,0.39585,12.7285,221267.0,1871.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
84.0,2023-01-20 18:22:59.999,,,0.0,0.0,,,0.3955999999999999,12.7205,244039.0,3085.11,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
85.0,2023-01-20 18:23:59.999,,,0.0,0.0,,,0.3959,12.7015,95451.0,4679.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
86.0,2023-01-20 18:24:59.999,,,0.0,0.0,,,0.39595,12.6845,101488.0,1409.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
