index,close_time,transaction_id,positions,NEARUSDT_units,LUNCUSDT_units,entry_NEARUSDT_price,entry_LUNCUSDT_price,historical_NEARUSDT_mid,historical_LUNCUSDT_mid,historical_NEARUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,LUNCUSDT_raw_pnl,NEARUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1213.0,2023-01-21 10:24:59.999,4.0,,0.0,0.0,,,2.45,0.0001827749999999,13982.5,308224126.02,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1214.0,2023-01-21 10:25:59.999,4.0,,0.0,0.0,,,2.4325,0.000182,71090.2,240789312.52,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1215.0,2023-01-21 10:26:59.999,4.0,,0.0,0.0,,,2.368,0.00017719,291412.7,2596622199.41,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1216.0,2023-01-21 10:27:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.355,0.000179035,393472.0,3056059844.52,1.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,1,0.0,0.004145330129772473
1217.0,2023-01-21 10:28:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.352,0.00017643,364756.9,1305885978.23,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1218.0,2023-01-21 10:29:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3645,0.000176965,117517.4,815355088.49,1.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1219.0,2023-01-21 10:30:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3315,0.000176085,330718.1,562764004.88,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1220.0,2023-01-21 10:31:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3375,0.000175935,250470.9,542010835.12,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1221.0,2023-01-21 10:32:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.353,0.000177155,78843.2,451380208.06,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1222.0,2023-01-21 10:33:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3630000000000004,0.0001774899999999,75095.5,472748771.75,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1223.0,2023-01-21 10:34:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3605,0.000176845,46634.6,445138756.38,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1224.0,2023-01-21 10:35:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.362,0.00017682,50531.5,286072719.07,1.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1225.0,2023-01-21 10:36:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3675,0.000177315,39016.7,285677591.14,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1226.0,2023-01-21 10:37:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.378,0.0001775899999999,37715.6,107773019.47,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1227.0,2023-01-21 10:38:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3835,0.0001777549999999,66513.0,130112726.39,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1228.0,2023-01-21 10:39:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3845,0.00017772,113439.7,101435151.26,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1229.0,2023-01-21 10:40:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.385,0.000177915,27068.3,185505417.06,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1230.0,2023-01-21 10:41:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.379,0.000177875,25684.3,110790367.92,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1231.0,2023-01-21 10:42:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3705,0.0001773,45231.6,229496401.02,0.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
1232.0,2023-01-21 10:43:59.999,5.0,short,-212.31422505307856,7168062.491093786,2.355,0.000179035,2.3675,0.00017725,30430.8,156409000.67,1.0,10041.453301297726,0.0,0.0,0.0,0.0,0,0,0,0.0,0.004145330129772473
