index,close_time,transaction_id,positions,DOGEUSDT_units,LINKUSDT_units,entry_DOGEUSDT_price,entry_LINKUSDT_price,historical_DOGEUSDT_mid,historical_LINKUSDT_mid,historical_DOGEUSDT_vol,historical_LINKUSDT_vol,signal,portfolio_value,DOGEUSDT_raw_pnl,LINKUSDT_raw_pnl,DOGEUSDT_cost,LINKUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
218.0,2023-01-20 20:39:59.999,,,0.0,0.0,,,0.08545,6.837,5541826.0,10714.13,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
219.0,2023-01-20 20:40:59.999,,,0.0,0.0,,,0.085465,6.832000000000001,1734896.0,8623.03,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
220.0,2023-01-20 20:41:59.999,,,0.0,0.0,,,0.085365,6.823,1821202.0,9285.02,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
221.0,2023-01-20 20:42:59.999,,,0.0,0.0,,,0.08528,6.8155,1445629.0,5002.67,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
222.0,2023-01-20 20:43:59.999,,,0.0,0.0,,,0.08515,6.808999999999999,1295912.0,5841.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
223.0,2023-01-20 20:44:59.999,,,0.0,0.0,,,0.085225,6.8255,649148.0,10819.72,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
224.0,2023-01-20 20:45:59.999,,,0.0,0.0,,,0.08515,6.8265,1201160.0,11185.18,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
225.0,2023-01-20 20:46:59.999,,,0.0,0.0,,,0.08524,6.826499999999999,1188361.0,3307.35,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
226.0,2023-01-20 20:47:59.999,,,0.0,0.0,,,0.0854,6.8375,1531373.0,8654.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
227.0,2023-01-20 20:48:59.999,,,0.0,0.0,,,0.0854,6.839,1795204.0,9672.33,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
228.0,2023-01-20 20:49:59.999,,,0.0,0.0,,,0.085475,6.837,1663754.0,15266.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
229.0,2023-01-20 20:50:59.999,,,0.0,0.0,,,0.0853599999999999,6.831,1132301.0,6784.45,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
230.0,2023-01-20 20:51:59.999,,,0.0,0.0,,,0.085335,6.832,461712.0,3573.94,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
231.0,2023-01-20 20:52:59.999,,,0.0,0.0,,,0.0853599999999999,6.832,730284.0,4214.53,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
232.0,2023-01-20 20:53:59.999,,,0.0,0.0,,,0.085345,6.8285,830483.0,3821.14,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
233.0,2023-01-20 20:54:59.999,,,0.0,0.0,,,0.0854999999999999,6.843500000000001,3135508.0,21712.41,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
234.0,2023-01-20 20:55:59.999,,,0.0,0.0,,,0.085425,6.838,2562354.0,14168.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
235.0,2023-01-20 20:56:59.999,,,0.0,0.0,,,0.085405,6.84,753808.0,2322.25,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
236.0,2023-01-20 20:57:59.999,,,0.0,0.0,,,0.085365,6.8375,1220697.0,1589.08,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
237.0,2023-01-20 20:58:59.999,,,0.0,0.0,,,0.085325,6.831,825954.0,12113.94,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
238.0,2023-01-20 20:59:59.999,,,0.0,0.0,,,0.085465,6.843,1387699.0,2169.61,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
239.0,2023-01-20 21:00:59.999,,,0.0,0.0,,,0.0854999999999999,6.8505,940367.0,6371.26,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
240.0,2023-01-20 21:01:59.999,,,0.0,0.0,,,0.085495,6.854,862884.0,4479.04,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
241.0,2023-01-20 21:02:59.999,,,0.0,0.0,,,0.0857499999999999,6.8665,3879357.0,6872.22,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
242.0,2023-01-20 21:03:59.999,,,0.0,0.0,,,0.085735,6.8725000000000005,1567285.0,4624.28,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
243.0,2023-01-20 21:04:59.999,,,0.0,0.0,,,0.085735,6.873,2119356.0,14828.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
244.0,2023-01-20 21:05:59.999,,,0.0,0.0,,,0.085795,6.876,7135869.0,16247.35,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
245.0,2023-01-20 21:06:59.999,,,0.0,0.0,,,0.08563,6.8695,1719059.0,6528.87,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
246.0,2023-01-20 21:07:59.999,,,0.0,0.0,,,0.085585,6.87,1300548.0,3190.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
247.0,2023-01-20 21:08:59.999,,,0.0,0.0,,,0.085605,6.8765,402147.0,1801.71,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
248.0,2023-01-20 21:09:59.999,,,0.0,0.0,,,0.085595,6.8740000000000006,923132.0,2117.92,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
249.0,2023-01-20 21:10:59.999,,,0.0,0.0,,,0.08542,6.859,3124687.0,6272.69,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
250.0,2023-01-20 21:11:59.999,,,0.0,0.0,,,0.08528,6.851,1525602.0,5370.72,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
251.0,2023-01-20 21:12:59.999,,,0.0,0.0,,,0.085145,6.8335,1667674.0,12251.31,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
252.0,2023-01-20 21:13:59.999,,,0.0,0.0,,,0.0851099999999999,6.8275,578724.0,3092.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
253.0,2023-01-20 21:14:59.999,,,0.0,0.0,,,0.08499,6.8145,2650927.0,6804.84,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
254.0,2023-01-20 21:15:59.999,,,0.0,0.0,,,0.08507,6.82,2117254.0,8380.34,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
255.0,2023-01-20 21:16:59.999,,,0.0,0.0,,,0.0852199999999999,6.8325,1163901.0,9268.96,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
256.0,2023-01-20 21:17:59.999,,,0.0,0.0,,,0.08527,6.839,840066.0,5229.02,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
257.0,2023-01-20 21:18:59.999,,,0.0,0.0,,,0.0853,6.847,916002.0,3229.52,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
258.0,2023-01-20 21:19:59.999,,,0.0,0.0,,,0.085425,6.855,651679.0,2426.47,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
259.0,2023-01-20 21:20:59.999,,,0.0,0.0,,,0.085545,6.8615,623671.0,2227.24,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
260.0,2023-01-20 21:21:59.999,,,0.0,0.0,,,0.0856,6.866,1870859.0,6379.47,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
261.0,2023-01-20 21:22:59.999,,,0.0,0.0,,,0.085705,6.874499999999999,1055434.0,4636.45,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
262.0,2023-01-20 21:23:59.999,,,0.0,0.0,,,0.0858299999999999,6.882,3583340.0,7548.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
263.0,2023-01-20 21:24:59.999,,,0.0,0.0,,,0.085835,6.89,1255114.0,9597.87,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
264.0,2023-01-20 21:25:59.999,,,0.0,0.0,,,0.0857749999999999,6.882,1608581.0,2941.55,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
265.0,2023-01-20 21:26:59.999,,,0.0,0.0,,,0.08565,6.8695,833749.0,2653.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
266.0,2023-01-20 21:27:59.999,,,0.0,0.0,,,0.085655,6.871,501087.0,3518.11,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
267.0,2023-01-20 21:28:59.999,,,0.0,0.0,,,0.085765,6.8805,1395701.0,2616.74,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
268.0,2023-01-20 21:29:59.999,,,0.0,0.0,,,0.08583,6.881,906201.0,2044.81,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
269.0,2023-01-20 21:30:59.999,,,0.0,0.0,,,0.085855,6.888,476534.0,2908.13,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
270.0,2023-01-20 21:31:59.999,,,0.0,0.0,,,0.0858549999999999,6.893,343419.0,2812.25,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
271.0,2023-01-20 21:32:59.999,,,0.0,0.0,,,0.085805,6.893000000000001,718078.0,4797.72,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
272.0,2023-01-20 21:33:59.999,,,0.0,0.0,,,0.08579,6.8995,733445.0,12708.46,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
273.0,2023-01-20 21:34:59.999,,,0.0,0.0,,,0.08576,6.904,1292382.0,5678.61,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
274.0,2023-01-20 21:35:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.0858,6.909000000000001,578692.0,6761.94,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0
275.0,2023-01-20 21:36:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.0858049999999999,6.9125,190092.0,2711.5,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
276.0,2023-01-20 21:37:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.08569,6.9095,780960.0,4704.62,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
277.0,2023-01-20 21:38:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.0856,6.8995,687350.0,3017.98,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
278.0,2023-01-20 21:39:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.085645,6.904,298218.0,1575.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
279.0,2023-01-20 21:40:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.0856649999999999,6.9030000000000005,122448.0,1938.74,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
280.0,2023-01-20 21:41:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.0856099999999999,6.8895,337090.0,9983.29,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
281.0,2023-01-20 21:42:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.085555,6.8765,576426.0,3821.03,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
282.0,2023-01-20 21:43:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.08555,6.875500000000001,422784.0,1936.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
283.0,2023-01-20 21:44:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.085585,6.8795,273943.0,1656.41,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
284.0,2023-01-20 21:45:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.085595,6.88,132520.0,1387.05,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
285.0,2023-01-20 21:46:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.085475,6.867,986167.0,8679.33,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
286.0,2023-01-20 21:47:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.085435,6.871,676797.0,3968.09,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
287.0,2023-01-20 21:48:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.085445,6.868,539404.0,1404.24,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
288.0,2023-01-20 21:49:59.999,1.0,long,5827.505827505828,-74.53982538148908,0.0858,6.909000000000001,0.08544,6.869,357034.0,2671.14,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
