index,close_time,transaction_id,positions,SANDUSDT_units,DOTUSDT_units,entry_SANDUSDT_price,entry_DOTUSDT_price,historical_SANDUSDT_mid,historical_DOTUSDT_mid,historical_SANDUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,SANDUSDT_raw_pnl,DOTUSDT_raw_pnl,SANDUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2594.0,2023-01-22 10:22:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7966,6.252,7531.0,2660.94,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2595.0,2023-01-22 10:23:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7959499999999999,6.250500000000001,3105.0,694.48,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2596.0,2023-01-22 10:24:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7959,6.254,3884.0,401.56,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2597.0,2023-01-22 10:25:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7968500000000001,6.255,12373.0,609.97,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2598.0,2023-01-22 10:26:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79775,6.254,11786.0,997.44,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2599.0,2023-01-22 10:27:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7984,6.263,36941.0,2115.04,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2600.0,2023-01-22 10:28:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79825,6.259,4974.0,881.44,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2601.0,2023-01-22 10:29:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79805,6.2585,1706.0,470.19,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2602.0,2023-01-22 10:30:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7983,6.2675,9637.0,17599.37,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2603.0,2023-01-22 10:31:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7984,6.2745,9609.0,1208.15,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2604.0,2023-01-22 10:32:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7988,6.281499999999999,7151.0,9418.0,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2605.0,2023-01-22 10:33:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79855,6.278499999999999,2931.0,1800.95,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2606.0,2023-01-22 10:34:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7987,6.282500000000001,8296.0,14257.63,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2607.0,2023-01-22 10:35:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.798,6.2765,4663.0,890.2,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2608.0,2023-01-22 10:36:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7986500000000001,6.281000000000001,9821.0,1056.73,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2609.0,2023-01-22 10:37:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.79915,6.2865,7546.0,898.76,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2610.0,2023-01-22 10:38:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7996000000000001,6.2845,12559.0,4259.6,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2611.0,2023-01-22 10:39:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7995,6.285,1981.0,1601.28,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2612.0,2023-01-22 10:40:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8000499999999999,6.2855,9891.0,639.58,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2613.0,2023-01-22 10:41:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8001,6.2855,7204.0,1151.0,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2614.0,2023-01-22 10:42:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7999499999999999,6.282500000000001,15306.0,2611.67,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2615.0,2023-01-22 10:43:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.7999,6.2835,6863.0,2695.9,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2616.0,2023-01-22 10:44:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8006,6.285,22058.0,1804.55,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2617.0,2023-01-22 10:45:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8003,6.285,4710.0,708.55,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
2618.0,2023-01-22 10:46:59.999,6.0,long,618.0469715698395,-150.21070965248362,0.8089999999999999,6.225,0.8001,6.282,11498.0,747.89,2.0,10017.88242404461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017882424044610712
