index,close_time,transaction_id,positions,XRPUSDT_units,SANDUSDT_units,entry_XRPUSDT_price,entry_SANDUSDT_price,historical_XRPUSDT_mid,historical_SANDUSDT_mid,historical_XRPUSDT_vol,historical_SANDUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,SANDUSDT_raw_pnl,XRPUSDT_cost,SANDUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2700.0,2023-01-22 13:58:59.999,3.0,,0.0,0.0,,,0.40685,0.81725,113664.0,8619.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2701.0,2023-01-22 13:59:59.999,3.0,,0.0,0.0,,,0.4068,0.8163,112324.0,19869.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2702.0,2023-01-22 14:00:59.999,3.0,,0.0,0.0,,,0.40685,0.8163,138968.0,11598.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2703.0,2023-01-22 14:01:59.999,3.0,,0.0,0.0,,,0.4068,0.8167500000000001,135321.0,35844.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2704.0,2023-01-22 14:02:59.999,3.0,,0.0,0.0,,,0.4066999999999999,0.81565,77855.0,72000.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2705.0,2023-01-22 14:03:59.999,3.0,,0.0,0.0,,,0.4063,0.81445,68566.0,29000.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2706.0,2023-01-22 14:04:59.999,3.0,,0.0,0.0,,,0.40615,0.813,21069.0,58952.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2707.0,2023-01-22 14:05:59.999,3.0,,0.0,0.0,,,0.40625,0.81325,138600.0,44346.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2708.0,2023-01-22 14:06:59.999,3.0,,0.0,0.0,,,0.40625,0.8129500000000001,149602.0,29700.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2709.0,2023-01-22 14:07:59.999,3.0,,0.0,0.0,,,0.40635,0.8141,141151.0,39413.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
