index,close_time,transaction_id,positions,SANDUSDT_units,JASMYUSDT_units,entry_SANDUSDT_price,entry_JASMYUSDT_price,historical_SANDUSDT_mid,historical_JASMYUSDT_mid,historical_SANDUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,SANDUSDT_raw_pnl,JASMYUSDT_raw_pnl,SANDUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
575.0,2023-01-21 00:43:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7991999999999999,0.0051199999999999,185636.0,3827485.6,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
576.0,2023-01-21 00:44:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7968,0.005126,176932.0,2857955.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
577.0,2023-01-21 00:45:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79765,0.0051334999999999,66758.0,3849741.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
578.0,2023-01-21 00:46:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7988,0.0051315,35028.0,983216.2,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
579.0,2023-01-21 00:47:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79535,0.005117,66621.0,2620506.2,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
580.0,2023-01-21 00:48:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7902,0.0051035,160634.0,1437322.6,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
581.0,2023-01-21 00:49:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.78915,0.0051024999999999,44062.0,1081330.9,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
582.0,2023-01-21 00:50:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7914,0.0051055,89075.0,3190106.4,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
583.0,2023-01-21 00:51:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7923,0.005107,24156.0,213600.6,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
584.0,2023-01-21 00:52:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7928,0.0051035,60594.0,1493046.3,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
585.0,2023-01-21 00:53:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7948,0.005119,38829.0,1143259.9,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
586.0,2023-01-21 00:54:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7955000000000001,0.005126,33942.0,3638433.8,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
587.0,2023-01-21 00:55:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79365,0.005124,69285.0,3247721.4,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
588.0,2023-01-21 00:56:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7927,0.005126,46840.0,406710.7,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
589.0,2023-01-21 00:57:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79155,0.0051255,47848.0,8419686.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
590.0,2023-01-21 00:58:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7899499999999999,0.0051265,41632.0,2043787.8,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
591.0,2023-01-21 00:59:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7914,0.0051249999999999,48398.0,1905788.5,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
592.0,2023-01-21 01:00:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79235,0.005136,42515.0,8267693.6,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
593.0,2023-01-21 01:01:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79315,0.005142,29617.0,3420161.6,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
594.0,2023-01-21 01:02:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.7933,0.0051405,42028.0,3160885.0,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
595.0,2023-01-21 01:03:59.999,1.0,long,651.4233600416911,-130439.24845739445,0.76755,0.005064,0.79605,0.005148,91527.0,11135603.9,2.0,10000,0,0,0,0,0,0,0,0.0,0.0
