coin1,coin2,in_sample_correlation,in_sample_correlation_pvalue,in_sample_residuals_adf_p_value,in_sample_alpha,in_sample_beta,in_sample_half_file,in_sample_hurst,in_sample_coin1_lookback,in_sample_coin2_lookback,out_of_sample_correlation,out_of_sample_correlation_p_value,out_of_sample_spread_adf_p_value,out_of_sample_mean,out_of_sample_std,out_of_sample_half_file,out_of_sample_hurst
DOGEUSDT,EURUSDT,0.812825099190198,0.0,0.04290991366309697,-3.0306740242028134,6.677380870335197,1650.0,0.4909722840019344,2461,2404,0.7956942650591442,0.0,0.44317966689067845,0.01969894051964226,0.02668969573921831,902.0,0.5178603338302611
DOGEUSDT,JASMYUSDT,0.9427152851760594,0.0,0.0029703069548352224,-0.05397188810971976,0.45547353168646376,975.0,0.463944713412055,2461,2161,0.950733619662401,0.0,0.128238568631806,-0.0004716730849812932,0.013306445305591157,416.0,0.5193148542711307
APTUSDT,LINKUSDT,0.9661468939028554,0.0,0.04931183666965916,-6.2097623076187904,4.326861122538533,1212.0,0.5198080903378723,2431,2438,0.9448995339202094,0.0,0.5049931743900499,0.28481991195238826,0.0961194954569838,1004.0,0.47000903160309204
APTUSDT,LUNCUSDT,0.9363449145672184,0.0,0.0002482991283049045,42.685078170600995,4.709953680285297,629.0,0.45472257282169853,2431,2152,0.8670885184448136,0.0,0.20949875548809355,0.36868716038363336,0.11821339374336372,553.0,0.5041471360241548
APTUSDT,JASMYUSDT,0.9478417229171044,0.0,0.012248877329366156,12.490871299312918,1.9701931034178146,1315.0,0.4856524674348542,2431,2161,0.9651068261170004,0.0,0.7712030302660908,0.30225177307530415,0.13033023239914482,3158.0,0.5012278130251558
BNBUSDT,LTCUSDT,0.9675371491342424,0.0,0.011831032449650059,1.073052525099989,1.035377438084777,831.0,0.45569527232985896,2447,2313,0.935008101549299,0.0,0.35911068014284464,0.0014164754886401966,0.014909831338284541,769.0,0.48881767551182403
BNBUSDT,ADAUSDT,0.9875444819034673,0.0,0.007754414281989712,6.314205947864292,0.5860974691466119,820.0,0.4667589773296991,2447,2448,0.9270737631894093,0.0,0.41191347168766884,-0.011444310929300767,0.013355168798912775,850.0,0.4586044045277532
BNBUSDT,LDOUSDT,0.9485202367065995,0.0,0.01978907790527006,5.460534100949196,0.29420269909252084,974.0,0.45696230478168803,2447,2312,0.8964223649949862,0.0,0.07863770514577977,0.009420409213518197,0.01030705023826689,338.0,0.5034986760333539
BNBUSDT,NEARUSDT,0.9723576113473897,0.0,0.039875689844675766,5.399273751429443,0.4017480257620045,1387.0,0.4514602945460315,2447,2291,0.9501883037365647,0.0,0.18744748721900034,-0.02858287393082727,0.011180337173093347,534.0,0.4791866979987438
BNBUSDT,LINKUSDT,0.9780078961049062,0.0,0.00828632864004738,3.7380660333011786,1.0346345261867498,907.0,0.446840310197867,2447,2438,0.9633448417909635,0.0,0.5001859961487191,-0.015409040880022111,0.01983097049703354,1068.0,0.42563108874244854
