coin1,coin2,in_sample_correlation,in_sample_correlation_pvalue,in_sample_residuals_adf_p_value,in_sample_alpha,in_sample_beta,in_sample_half_file,in_sample_hurst,in_sample_coin1_lookback,in_sample_coin2_lookback,out_of_sample_correlation,out_of_sample_correlation_p_value,out_of_sample_spread_adf_p_value,out_of_sample_mean,out_of_sample_std,out_of_sample_half_file,out_of_sample_hurst,in_sample_start_date,in_sample_end_date,out_of_sample_end_date
ADAUSDT,LUNCUSDT,0.9069897284136108,0.0,0.0060781442072941,14.631335544223148,1.8158701142086247,976.0,0.4600587690993034,2448,2152,0.911301411623846,0.0,0.0297490610161678,0.0348353663068776,0.0350864947415609,315.0,0.4831088523583436,2023-01-01,2023-01-19,2023-01-23
NEARUSDT,DOTUSDT,0.973477684127408,0.0,0.0207060844918044,-2.07620219087505,1.6110814246227259,1173.0,0.4171724761256631,2291,2337,0.975339921085182,0.0,0.0253621229023378,-0.0140017405224804,0.0177344183720732,250.0,0.4979277876531899,2023-01-01,2023-01-19,2023-01-23
NEARUSDT,LUNCUSDT,0.892486921321203,0.0,0.015921581414262,22.9038389116087,2.5666681361859514,1161.0,0.4524161932309983,2291,2152,0.9126794846651556,0.0,0.0364950688021941,0.0992382440849587,0.0496532348185084,334.0,0.4837466369413563,2023-01-01,2023-01-19,2023-01-23
NEARUSDT,JASMYUSDT,0.9496220164488106,0.0,0.0174246051043573,6.752256805451212,1.1285240688252411,1414.0,0.4618920924531657,2291,2161,0.96990842463119,0.0,0.0058211248133219,0.0520221257043868,0.0188928840393493,232.0,0.478717711454355,2023-01-01,2023-01-19,2023-01-23
SANDUSDT,DOTUSDT,0.9788356519731992,0.0,0.0105804725960135,-3.68583800728637,1.8701233351734212,1159.0,0.4797661663756024,2348,2337,0.969480663073942,0.0,0.0050710476621751,0.0347727884841028,0.0185903040558154,211.0,0.4730435030468862,2023-01-01,2023-01-19,2023-01-23
SANDUSDT,JASMYUSDT,0.9629482527361528,0.0,0.004931443332815,6.623404810232858,1.321088708376491,1176.0,0.4677171093727544,2348,2161,0.977519114326215,0.0,0.0035508305422435,0.1091825439480266,0.01686723717807,198.0,0.4540713025902508,2023-01-01,2023-01-19,2023-01-23
LINKUSDT,LUNCUSDT,0.9479339130243098,0.0,3.655777094595546e-05,11.092532164680353,1.0647043947097434,499.0,0.4458722350860296,2438,2152,0.8962146643341711,0.0,0.042820385262298,0.0210474655971816,0.0196421803667976,335.0,0.4898772694507462,2023-01-01,2023-01-19,2023-01-23
LINKUSDT,ATOMUSDT,0.9744388629899066,0.0,0.0059255255292896,0.13238213490490813,0.6983352636897735,829.0,0.4580952526356109,2438,2449,0.9762253233958051,0.0,0.0062454861825379,0.0023022333928191,0.0087087629338108,198.0,0.4303830923998335,2023-01-01,2023-01-19,2023-01-23
DOTUSDT,JASMYUSDT,0.9692597631214552,0.0,0.0002420361108253,5.455146126288403,0.6959992076872239,789.0,0.4542802418867913,2337,2161,0.9761710110544876,0.0,0.0023655054096446,0.0418795050626905,0.0087441707125292,166.0,0.3750409593973018,2023-01-01,2023-01-19,2023-01-23
LUNCUSDT,ATOMUSDT,0.948097135115342,0.0,2.7151317476267647e-06,-10.171589006206876,0.6049384999007414,423.0,0.4493130729018605,2152,2449,0.9053484576323194,0.0,0.0290971343673484,-0.010812307260336,0.0190451822930794,334.0,0.489058256549585,2023-01-01,2023-01-19,2023-01-23
