index,close_time,transaction_id,positions,ETHUSDT_units,XRPUSDT_units,entry_ETHUSDT_price,entry_XRPUSDT_price,historical_ETHUSDT_mid,historical_XRPUSDT_mid,historical_ETHUSDT_vol,historical_XRPUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,XRPUSDT_raw_pnl,ETHUSDT_cost,XRPUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2809.0,2023-01-22 15:32:59.999,2.0,,0.0,0.0,,,1635.435,0.40545,1220.0995,345793.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2810.0,2023-01-22 15:33:59.999,2.0,,0.0,0.0,,,1635.86,0.40575,799.6248,210648.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2811.0,2023-01-22 15:34:59.999,2.0,,0.0,0.0,,,1635.69,0.40575,481.106,262648.0,3.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2812.0,2023-01-22 15:35:59.999,2.0,,0.0,0.0,,,1635.9,0.40585,307.3168,123743.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2813.0,2023-01-22 15:36:59.999,2.0,,0.0,0.0,,,1634.5,0.4055499999999999,536.1022,153403.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2814.0,2023-01-22 15:37:59.999,2.0,,0.0,0.0,,,1632.1,0.4047,521.0149,269912.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2815.0,2023-01-22 15:38:59.999,2.0,,0.0,0.0,,,1632.075,0.4044,347.2802,295063.0,4.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2816.0,2023-01-22 15:39:59.999,2.0,,0.0,0.0,,,1632.565,0.4044999999999999,263.6455,187689.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2817.0,2023-01-22 15:40:59.999,2.0,,0.0,0.0,,,1632.125,0.4047,349.6182,85398.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2818.0,2023-01-22 15:41:59.999,2.0,,0.0,0.0,,,1633.88,0.40495,182.9576,180603.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2819.0,2023-01-22 15:42:59.999,2.0,,0.0,0.0,,,1635.165,0.4051,771.0747,196344.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2820.0,2023-01-22 15:43:59.999,2.0,,0.0,0.0,,,1635.62,0.4052,459.6433,127968.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2821.0,2023-01-22 15:44:59.999,2.0,,0.0,0.0,,,1635.36,0.40515,130.7029,67783.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2822.0,2023-01-22 15:45:59.999,2.0,,0.0,0.0,,,1634.815,0.40505,416.7114,58841.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2823.0,2023-01-22 15:46:59.999,2.0,,0.0,0.0,,,1636.295,0.40535,905.0232,88045.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2824.0,2023-01-22 15:47:59.999,2.0,,0.0,0.0,,,1639.095,0.4059,1027.1793,136514.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2825.0,2023-01-22 15:48:59.999,2.0,,0.0,0.0,,,1639.96,0.40625,469.8639,111398.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2826.0,2023-01-22 15:49:59.999,2.0,,0.0,0.0,,,1640.275,0.4065,187.0909,260524.0,3.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2827.0,2023-01-22 15:50:59.999,2.0,,0.0,0.0,,,1639.6750000000002,0.4065,234.8717,113040.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2828.0,2023-01-22 15:51:59.999,2.0,,0.0,0.0,,,1639.1950000000002,0.40645,234.2261,77501.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2829.0,2023-01-22 15:52:59.999,2.0,,0.0,0.0,,,1639.125,0.40625,174.2692,138062.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2830.0,2023-01-22 15:53:59.999,2.0,,0.0,0.0,,,1637.71,0.4059,405.1271,80094.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2831.0,2023-01-22 15:54:59.999,2.0,,0.0,0.0,,,1638.09,0.4061,152.8605,158828.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2832.0,2023-01-22 15:55:59.999,2.0,,0.0,0.0,,,1637.285,0.4058,220.6475,345066.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2833.0,2023-01-22 15:56:59.999,2.0,,0.0,0.0,,,1635.96,0.40535,340.111,86229.0,4.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2834.0,2023-01-22 15:57:59.999,2.0,,0.0,0.0,,,1635.735,0.40545,528.5959,119986.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2835.0,2023-01-22 15:58:59.999,2.0,,0.0,0.0,,,1636.19,0.40565,200.2835,73613.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2836.0,2023-01-22 15:59:59.999,2.0,,0.0,0.0,,,1635.775,0.4055999999999999,138.0766,74247.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2837.0,2023-01-22 16:00:59.999,2.0,,0.0,0.0,,,1636.24,0.4056,146.2076,74685.0,3.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2838.0,2023-01-22 16:01:59.999,2.0,,0.0,0.0,,,1636.76,0.40565,155.4604,58193.0,4.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2839.0,2023-01-22 16:02:59.999,2.0,,0.0,0.0,,,1635.845,0.4054,310.7535,151004.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2840.0,2023-01-22 16:03:59.999,2.0,,0.0,0.0,,,1634.105,0.40495,646.7624,130311.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2841.0,2023-01-22 16:04:59.999,2.0,,0.0,0.0,,,1632.945,0.405,224.1177,239163.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2842.0,2023-01-22 16:05:59.999,2.0,,0.0,0.0,,,1631.615,0.4045499999999999,798.2173,200169.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
2843.0,2023-01-22 16:06:59.999,2.0,,0.0,0.0,,,1631.89,0.40485,958.3529,110289.0,0.0,10017.734884949308,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0017734884949309748
