index,close_time,transaction_id,positions,XRPUSDT_units,MATICUSDT_units,entry_XRPUSDT_price,entry_MATICUSDT_price,historical_XRPUSDT_mid,historical_MATICUSDT_mid,historical_XRPUSDT_vol,historical_MATICUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,MATICUSDT_raw_pnl,XRPUSDT_cost,MATICUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
618.0,2023-01-21 03:16:59.999,,,0,0,,,0.40745,1.01645,224286.0,80936.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
619.0,2023-01-21 03:17:59.999,,,0,0,,,0.40745,1.0158,245330.0,78466.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
620.0,2023-01-21 03:18:59.999,,,0,0,,,0.407,1.0141,243104.0,111758.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
621.0,2023-01-21 03:19:59.999,,,0,0,,,0.40685,1.01445,81323.0,31235.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
622.0,2023-01-21 03:20:59.999,,,0,0,,,0.4072,1.0148,64206.0,9636.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
623.0,2023-01-21 03:21:59.999,,,0,0,,,0.4076499999999999,1.0153,136114.0,46865.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
624.0,2023-01-21 03:22:59.999,,,0,0,,,0.40775,1.0152,86382.0,18061.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
625.0,2023-01-21 03:23:59.999,,,0,0,,,0.4078,1.01565,127866.0,56431.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
626.0,2023-01-21 03:24:59.999,,,0,0,,,0.40795,1.0164,140037.0,30617.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
627.0,2023-01-21 03:25:59.999,,,0,0,,,0.40815,1.01695,305671.0,48220.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
628.0,2023-01-21 03:26:59.999,,,0,0,,,0.4083,1.0166,168359.0,50161.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
629.0,2023-01-21 03:27:59.999,,,0,0,,,0.40845,1.016,106899.0,23760.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
630.0,2023-01-21 03:28:59.999,,,0,0,,,0.4085499999999999,1.0167000000000002,77599.0,20773.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
631.0,2023-01-21 03:29:59.999,,,0,0,,,0.4086999999999999,1.01705,310244.0,36621.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
632.0,2023-01-21 03:30:59.999,,,0,0,,,0.409,1.0177,208472.0,30844.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
633.0,2023-01-21 03:31:59.999,,,0,0,,,0.4088,1.0175,169682.0,43259.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
634.0,2023-01-21 03:32:59.999,,,0,0,,,0.4088,1.0169,199109.0,7913.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
635.0,2023-01-21 03:33:59.999,,,0,0,,,0.4092,1.0164,531432.0,40478.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
636.0,2023-01-21 03:34:59.999,,,0,0,,,0.4095,1.01645,179475.0,37906.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
637.0,2023-01-21 03:35:59.999,,,0,0,,,0.40945,1.01675,73191.0,35000.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
638.0,2023-01-21 03:36:59.999,,,0,0,,,0.4096499999999999,1.01725,73706.0,12155.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
639.0,2023-01-21 03:37:59.999,,,0,0,,,0.4095499999999999,1.01685,157593.0,35432.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
640.0,2023-01-21 03:38:59.999,,,0,0,,,0.40925,1.016,31949.0,15724.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
641.0,2023-01-21 03:39:59.999,,,0,0,,,0.4095499999999999,1.0164,82903.0,61791.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
642.0,2023-01-21 03:40:59.999,,,0,0,,,0.40985,1.0178,181645.0,16926.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
643.0,2023-01-21 03:41:59.999,,,0,0,,,0.4099,1.0181,111037.0,32425.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
644.0,2023-01-21 03:42:59.999,,,0,0,,,0.40985,1.018,73322.0,13967.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
645.0,2023-01-21 03:43:59.999,,,0,0,,,0.40985,1.0182,79861.0,17311.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
646.0,2023-01-21 03:44:59.999,,,0,0,,,0.41,1.01865,167636.0,10988.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
647.0,2023-01-21 03:45:59.999,,,0,0,,,0.41,1.01835,75091.0,11814.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
648.0,2023-01-21 03:46:59.999,,,0,0,,,0.41005,1.0175,117083.0,37876.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
649.0,2023-01-21 03:47:59.999,,,0,0,,,0.4101,1.0173,108285.0,9750.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
650.0,2023-01-21 03:48:59.999,,,0,0,,,0.4101,1.0173,118159.0,17394.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
651.0,2023-01-21 03:49:59.999,,,0,0,,,0.4103,1.0173,52884.0,14195.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
652.0,2023-01-21 03:50:59.999,,,0,0,,,0.41045,1.01755,100992.0,18217.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
653.0,2023-01-21 03:51:59.999,,,0,0,,,0.4105,1.0174,239294.0,10060.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
654.0,2023-01-21 03:52:59.999,,,0,0,,,0.41005,1.0172,829832.0,41207.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
655.0,2023-01-21 03:53:59.999,,,0,0,,,0.4095,1.01675,168019.0,19456.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
656.0,2023-01-21 03:54:59.999,,,0,0,,,0.4092,1.0165,104655.0,9008.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
657.0,2023-01-21 03:55:59.999,,,0,0,,,0.4095499999999999,1.01675,97842.0,19428.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
658.0,2023-01-21 03:56:59.999,,,0,0,,,0.4101,1.01725,554115.0,45669.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
659.0,2023-01-21 03:57:59.999,,,0,0,,,0.41045,1.0172,142591.0,4026.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
660.0,2023-01-21 03:58:59.999,,,0,0,,,0.41045,1.01715,147994.0,19448.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
661.0,2023-01-21 03:59:59.999,,,0,0,,,0.4104,1.0174,82962.0,3987.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
662.0,2023-01-21 04:00:59.999,,,0,0,,,0.4105,1.018,163256.0,38121.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
663.0,2023-01-21 04:01:59.999,,,0,0,,,0.4105999999999999,1.0185499999999998,75537.0,13004.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
664.0,2023-01-21 04:02:59.999,,,0,0,,,0.4105,1.0183,152426.0,26143.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
665.0,2023-01-21 04:03:59.999,,,0,0,,,0.4104,1.01805,126090.0,21662.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
666.0,2023-01-21 04:04:59.999,,,0,0,,,0.4101,1.0175999999999998,622930.0,35294.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
667.0,2023-01-21 04:05:59.999,,,0,0,,,0.4102,1.0183,403177.0,28625.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
668.0,2023-01-21 04:06:59.999,,,0,0,,,0.41045,1.01915,77853.0,36375.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
669.0,2023-01-21 04:07:59.999,,,0,0,,,0.4105499999999999,1.019,68416.0,8173.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
670.0,2023-01-21 04:08:59.999,,,0,0,,,0.4105499999999999,1.01915,47011.0,28270.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
671.0,2023-01-21 04:09:59.999,,,0,0,,,0.4105999999999999,1.0193,160286.0,12015.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
672.0,2023-01-21 04:10:59.999,,,0,0,,,0.41075,1.0194,117475.0,12081.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
673.0,2023-01-21 04:11:59.999,,,0,0,,,0.41075,1.0195,181584.0,2888.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
674.0,2023-01-21 04:12:59.999,,,0,0,,,0.4106999999999999,1.0196,64790.0,12844.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
675.0,2023-01-21 04:13:59.999,,,0,0,,,0.4106499999999999,1.01965,160289.0,19827.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
676.0,2023-01-21 04:14:59.999,,,0,0,,,0.4106999999999999,1.02025,222730.0,49137.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
677.0,2023-01-21 04:15:59.999,,,0,0,,,0.4109,1.02045,83666.0,27012.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
678.0,2023-01-21 04:16:59.999,,,0,0,,,0.4109,1.02075,129279.0,43482.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
679.0,2023-01-21 04:17:59.999,,,0,0,,,0.4108,1.02065,134998.0,28229.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
680.0,2023-01-21 04:18:59.999,,,0,0,,,0.4105999999999999,1.0209,31162.0,26763.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
681.0,2023-01-21 04:19:59.999,,,0,0,,,0.41085,1.02115,69746.0,21367.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
682.0,2023-01-21 04:20:59.999,,,0,0,,,0.41085,1.0216,292491.0,38612.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
683.0,2023-01-21 04:21:59.999,,,0,0,,,0.4106999999999999,1.02185,274299.0,28081.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
684.0,2023-01-21 04:22:59.999,,,0,0,,,0.41075,1.0226000000000002,118736.0,46899.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
685.0,2023-01-21 04:23:59.999,,,0,0,,,0.41085,1.02325,60042.0,10070.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
686.0,2023-01-21 04:24:59.999,,,0,0,,,0.4108,1.0238,66274.0,103387.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
687.0,2023-01-21 04:25:59.999,,,0,0,,,0.41085,1.02285,42319.0,65706.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
