index,close_time,transaction_id,positions,LTCUSDT_units,LUNCUSDT_units,entry_LTCUSDT_price,entry_LUNCUSDT_price,historical_LTCUSDT_mid,historical_LUNCUSDT_mid,historical_LTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,LTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1966.0,2023-01-21 23:19:59.999,1.0,,0.0,0.0,,,89.375,0.0001807849999999,212.916,71566990.04,4.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1967.0,2023-01-21 23:20:59.999,1.0,,0.0,0.0,,,89.16999999999999,0.0001803099999999,2253.017,101022167.02,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1968.0,2023-01-21 23:21:59.999,1.0,,0.0,0.0,,,89.085,0.00018002,701.494,134137407.93,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1969.0,2023-01-21 23:22:59.999,1.0,,0.0,0.0,,,88.775,0.000179245,5891.712,224024205.26,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1970.0,2023-01-21 23:23:59.999,1.0,,0.0,0.0,,,88.655,0.0001785,2861.23,375941221.15,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1971.0,2023-01-21 23:24:59.999,1.0,,0.0,0.0,,,88.72,0.000178735,518.486,281987997.9,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1972.0,2023-01-21 23:25:59.999,1.0,,0.0,0.0,,,88.88499999999999,0.000179145,374.182,58568580.39,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1973.0,2023-01-21 23:26:59.999,1.0,,0.0,0.0,,,88.94999999999999,0.000179395,80.969,96313218.48,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1974.0,2023-01-21 23:27:59.999,1.0,,0.0,0.0,,,88.815,0.00017867,721.257,255277965.76,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1975.0,2023-01-21 23:28:59.999,1.0,,0.0,0.0,,,88.585,0.0001780749999999,1044.029,282474326.86,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1976.0,2023-01-21 23:29:59.999,1.0,,0.0,0.0,,,88.71000000000001,0.00017841,200.958,146777151.7,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1977.0,2023-01-21 23:30:59.999,1.0,,0.0,0.0,,,88.725,0.0001788,342.86,107533227.78,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1978.0,2023-01-21 23:31:59.999,1.0,,0.0,0.0,,,88.83500000000001,0.000179175,362.992,50745752.87,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1979.0,2023-01-21 23:32:59.999,1.0,,0.0,0.0,,,88.985,0.000179505,1112.735,104437866.62,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1980.0,2023-01-21 23:33:59.999,1.0,,0.0,0.0,,,88.895,0.0001794799999999,300.964,89192857.23,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1981.0,2023-01-21 23:34:59.999,1.0,,0.0,0.0,,,88.745,0.00017921,495.87,104732540.91,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1982.0,2023-01-21 23:35:59.999,1.0,,0.0,0.0,,,88.755,0.00017946,134.63,31032918.11,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
1983.0,2023-01-21 23:36:59.999,1.0,,0.0,0.0,,,88.78999999999999,0.000179615,128.104,115450872.1,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
