index,close_time,transaction_id,positions,SHIBUSDT_units,SANDUSDT_units,entry_SHIBUSDT_price,entry_SANDUSDT_price,historical_SHIBUSDT_mid,historical_SANDUSDT_mid,historical_SHIBUSDT_vol,historical_SANDUSDT_vol,signal,portfolio_value,SHIBUSDT_raw_pnl,SANDUSDT_raw_pnl,SHIBUSDT_cost,SANDUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1492.0,2023-01-21 14:34:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2115e-05,0.8049,9822440811.0,6048.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1493.0,2023-01-21 14:35:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2105e-05,0.8050999999999999,1528923627.0,3691.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1494.0,2023-01-21 14:36:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2105e-05,0.8043,4255146579.0,10855.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1495.0,2023-01-21 14:37:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.21e-05,0.8029,4397222514.0,40200.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1496.0,2023-01-21 14:38:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.211e-05,0.8019499999999999,22144514266.0,77173.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1497.0,2023-01-21 14:39:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2114999999999998e-05,0.8029,699808062.0,36765.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1498.0,2023-01-21 14:40:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2114999999999998e-05,0.80385,3289518351.0,35656.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1499.0,2023-01-21 14:41:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.211e-05,0.80355,10419815812.0,8531.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1500.0,2023-01-21 14:42:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2125e-05,0.80445,7009741529.0,18993.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1501.0,2023-01-21 14:43:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2135000000000002e-05,0.8047500000000001,2167821638.0,21461.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1502.0,2023-01-21 14:44:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.214e-05,0.8059,1887445264.0,42245.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1503.0,2023-01-21 14:45:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2135e-05,0.80795,4035645871.0,169369.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1504.0,2023-01-21 14:46:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.215e-05,0.8085,4328275480.0,25101.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1505.0,2023-01-21 14:47:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2155e-05,0.8070999999999999,2073236029.0,26142.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1506.0,2023-01-21 14:48:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.214e-05,0.80565,2904488397.0,18639.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1507.0,2023-01-21 14:49:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.213e-05,0.80345,5035373146.0,37407.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1508.0,2023-01-21 14:50:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2125e-05,0.8043,2203122787.0,34141.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1509.0,2023-01-21 14:51:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2135e-05,0.8042,3735182359.0,14363.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1510.0,2023-01-21 14:52:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.211e-05,0.8027,4889589056.0,32874.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1511.0,2023-01-21 14:53:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.211e-05,0.80315,2767665928.0,16925.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1512.0,2023-01-21 14:54:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2105e-05,0.80315,4546381002.0,39160.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1513.0,2023-01-21 14:55:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.211e-05,0.80425,2851177426.0,27060.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1514.0,2023-01-21 14:56:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.213e-05,0.8061499999999999,2562306604.0,35052.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1515.0,2023-01-21 14:57:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.213e-05,0.8056,2959990703.0,24800.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1516.0,2023-01-21 14:58:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2125e-05,0.8048,4256938767.0,13370.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1517.0,2023-01-21 14:59:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.212e-05,0.8041499999999999,574931878.0,13436.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1518.0,2023-01-21 15:00:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2125e-05,0.80495,2253384860.0,10944.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1519.0,2023-01-21 15:01:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2135000000000002e-05,0.8059000000000001,1727430369.0,8501.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1520.0,2023-01-21 15:02:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.214e-05,0.8064,1535641199.0,5000.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1521.0,2023-01-21 15:03:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.215e-05,0.8059499999999999,5413132746.0,29247.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1522.0,2023-01-21 15:04:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2155e-05,0.8067500000000001,157926192.0,7694.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1523.0,2023-01-21 15:05:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.215e-05,0.8067500000000001,1664138841.0,8419.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1524.0,2023-01-21 15:06:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.215e-05,0.8070999999999999,1218032234.0,29303.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1525.0,2023-01-21 15:07:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.216e-05,0.80715,6911838144.0,20905.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1526.0,2023-01-21 15:08:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.214e-05,0.8068500000000001,4307915089.0,12348.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1527.0,2023-01-21 15:09:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2145e-05,0.8064,499422504.0,14693.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1528.0,2023-01-21 15:10:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2145e-05,0.8068,829391122.0,14416.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1529.0,2023-01-21 15:11:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.216e-05,0.8076000000000001,4905301847.0,15305.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1530.0,2023-01-21 15:12:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2165e-05,0.8069,1175853713.0,38858.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1531.0,2023-01-21 15:13:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2165e-05,0.8069,2168995312.0,9539.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1532.0,2023-01-21 15:14:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2175e-05,0.80655,14482676714.0,30172.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1533.0,2023-01-21 15:15:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.218e-05,0.8069999999999999,2501200741.0,79935.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1534.0,2023-01-21 15:16:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.218e-05,0.80735,8112607492.0,17612.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1535.0,2023-01-21 15:17:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.218e-05,0.80815,23615878039.0,131861.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1536.0,2023-01-21 15:18:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.219e-05,0.8089,7608742710.0,142579.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1537.0,2023-01-21 15:19:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8101,2743203036.0,46290.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1538.0,2023-01-21 15:20:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.80945,4298631076.0,85868.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1539.0,2023-01-21 15:21:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.221e-05,0.8091999999999999,2023583085.0,26528.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1540.0,2023-01-21 15:22:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2215e-05,0.8090999999999999,4895628664.0,16421.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1541.0,2023-01-21 15:23:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2215e-05,0.8096000000000001,2734894891.0,15506.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1542.0,2023-01-21 15:24:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2215e-05,0.81075,10465852732.0,34889.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1543.0,2023-01-21 15:25:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.222e-05,0.8103499999999999,1903175415.0,19872.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1544.0,2023-01-21 15:26:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2215e-05,0.8108500000000001,2533405726.0,16234.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1545.0,2023-01-21 15:27:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.222e-05,0.81105,3435618724.0,29884.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1546.0,2023-01-21 15:28:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2205e-05,0.8100499999999999,5431887836.0,12472.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1547.0,2023-01-21 15:29:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8113,6438213912.0,100998.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1548.0,2023-01-21 15:30:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8120499999999999,7110183409.0,68668.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1549.0,2023-01-21 15:31:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.219e-05,0.81055,5558689920.0,40341.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1550.0,2023-01-21 15:32:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2195e-05,0.8088500000000001,1560761058.0,60558.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1551.0,2023-01-21 15:33:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.80925,7394140108.0,35014.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1552.0,2023-01-21 15:34:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2205e-05,0.80845,959238964.0,34547.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1553.0,2023-01-21 15:35:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8071,2438769873.0,55313.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1554.0,2023-01-21 15:36:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8061,2923072382.0,92798.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1555.0,2023-01-21 15:37:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8052,2615396501.0,32905.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1556.0,2023-01-21 15:38:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2175e-05,0.80365,7099482239.0,39065.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1557.0,2023-01-21 15:39:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2175e-05,0.8034,1536451376.0,24750.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1558.0,2023-01-21 15:40:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2185e-05,0.8048500000000001,4130658941.0,27171.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1559.0,2023-01-21 15:41:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.219e-05,0.80585,3465147418.0,18015.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1560.0,2023-01-21 15:42:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8059000000000001,1631051151.0,22156.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1561.0,2023-01-21 15:43:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.221e-05,0.8062,3849520057.0,9241.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1562.0,2023-01-21 15:44:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8049999999999999,2730458538.0,15136.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1563.0,2023-01-21 15:45:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8037,4511578918.0,23603.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1564.0,2023-01-21 15:46:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.221e-05,0.80465,5709474335.0,39758.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1565.0,2023-01-21 15:47:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2205e-05,0.8029,2573078949.0,40804.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1566.0,2023-01-21 15:48:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2225e-05,0.8027,20166549333.0,16224.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1567.0,2023-01-21 15:49:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2235e-05,0.8026,7499376198.0,9715.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1568.0,2023-01-21 15:50:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.222e-05,0.8029999999999999,2634530854.0,13436.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1569.0,2023-01-21 15:51:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.222e-05,0.80315,1031172277.0,6599.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1570.0,2023-01-21 15:52:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.221e-05,0.80185,4304530550.0,79975.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1571.0,2023-01-21 15:53:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2215e-05,0.802,3079877175.0,11539.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1572.0,2023-01-21 15:54:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2215e-05,0.8022,3205863559.0,6666.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1573.0,2023-01-21 15:55:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.80035,8075002865.0,83761.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1574.0,2023-01-21 15:56:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2185e-05,0.7996000000000001,21597659765.0,54931.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1575.0,2023-01-21 15:57:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2185e-05,0.79975,9992200704.0,64162.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1576.0,2023-01-21 15:58:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2115e-05,0.7919499999999999,119445612655.0,865952.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1577.0,2023-01-21 15:59:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2105e-05,0.79085,48438245485.0,216477.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1578.0,2023-01-21 16:00:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2115e-05,0.7942499999999999,26985320205.0,138901.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1579.0,2023-01-21 16:01:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2125e-05,0.7963,7882134728.0,61845.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1580.0,2023-01-21 16:02:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.212e-05,0.79695,11388741368.0,54778.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1581.0,2023-01-21 16:03:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2145e-05,0.799,9070263964.0,45783.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1582.0,2023-01-21 16:04:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.217e-05,0.8019499999999999,5274681203.0,43376.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1583.0,2023-01-21 16:05:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2195e-05,0.804,12597618649.0,76486.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1584.0,2023-01-21 16:06:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8035,8063432730.0,52751.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1585.0,2023-01-21 16:07:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.219e-05,0.8023,4400800805.0,23375.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1586.0,2023-01-21 16:08:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.221e-05,0.8023,6097743133.0,18669.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1587.0,2023-01-21 16:09:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2215e-05,0.8028,7670997283.0,66531.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1588.0,2023-01-21 16:10:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.222e-05,0.80385,2832530597.0,33695.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1589.0,2023-01-21 16:11:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2215e-05,0.8055,9666970258.0,58901.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1590.0,2023-01-21 16:12:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.221e-05,0.8054,4542773519.0,41069.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1591.0,2023-01-21 16:13:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.8048500000000001,6792874696.0,57277.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1592.0,2023-01-21 16:14:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.22e-05,0.80365,5993970685.0,46870.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1593.0,2023-01-21 16:15:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.2195e-05,0.80235,2763029461.0,23501.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
1594.0,2023-01-21 16:16:59.999,1.0,short,-40436716.538617074,330.0829676195649,1.2365e-05,0.77005,1.219e-05,0.8017000000000001,2068616385.0,50407.0,1.0,10000,0,0,0,0,0,0,0,0.0,0.0
