index,close_time,transaction_id,positions,XRPUSDT_units,LTCUSDT_units,entry_XRPUSDT_price,entry_LTCUSDT_price,historical_XRPUSDT_mid,historical_LTCUSDT_mid,historical_XRPUSDT_vol,historical_LTCUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,LTCUSDT_raw_pnl,XRPUSDT_cost,LTCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2848.0,2023-01-22 16:26:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4076999999999999,88.63499999999999,265675.0,132.394,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2849.0,2023-01-22 16:27:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40745,88.645,164414.0,546.223,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2850.0,2023-01-22 16:28:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4078,88.765,345440.0,506.768,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2851.0,2023-01-22 16:29:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40795,88.69,63186.0,364.374,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2852.0,2023-01-22 16:30:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4077499999999999,88.695,211899.0,107.709,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2853.0,2023-01-22 16:31:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4072,88.66,169365.0,450.546,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2854.0,2023-01-22 16:32:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4069,88.66,90367.0,453.711,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2855.0,2023-01-22 16:33:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.40715,88.745,165612.0,136.581,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2856.0,2023-01-22 16:34:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.407,88.66,86062.0,779.119,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
2857.0,2023-01-22 16:35:59.999,9.0,long,1232.285890326556,-4.253123788627518,0.40575,88.81,0.4072,88.69999999999999,87054.0,64.674,0.0,9996.40403385043,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.0003595966149568808
