index,close_time,transaction_id,positions,XRPUSDT_units,LUNCUSDT_units,entry_XRPUSDT_price,entry_LUNCUSDT_price,historical_XRPUSDT_mid,historical_LUNCUSDT_mid,historical_XRPUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,LUNCUSDT_raw_pnl,XRPUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1637.0,2023-01-21 20:15:59.999,2.0,long,1214.4765606023807,-2259363.942652052,0.4116999999999999,0.000183615,0.4132,0.00018259,708951.0,193425723.36,0.0,10009.516279630732,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0009516279630732427
1638.0,2023-01-21 20:16:59.999,2.0,long,1214.4765606023807,-2259363.942652052,0.4116999999999999,0.000183615,0.41345,0.00018261,29087.0,30679310.84,0.0,10009.516279630732,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0009516279630732427
1639.0,2023-01-21 20:17:59.999,2.0,long,1214.4765606023807,-2259363.942652052,0.4116999999999999,0.000183615,0.4133,0.000182485,217185.0,71218469.2,0.0,10009.516279630732,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0009516279630732427
1640.0,2023-01-21 20:18:59.999,2.0,long,1214.4765606023807,-2259363.942652052,0.4116999999999999,0.000183615,0.4126499999999999,0.000182375,139925.0,21854304.8,0.0,10009.516279630732,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0009516279630732427
1641.0,2023-01-21 20:19:59.999,2.0,long,1214.4765606023807,-2259363.942652052,0.4116999999999999,0.000183615,0.41295,0.0001817,47412.0,304128719.37,0.0,10009.516279630732,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0009516279630732427
1642.0,2023-01-21 20:20:59.999,2.0,,0.0,0.0,,,0.4126499999999999,0.00018159,75683.0,109057077.58,4.0,10014.33210196647,1.1537527325722694,4.575211983870425,-0.5005768763662861,-0.41256550433812134,281,1,0,0.0004811243821580824,0.0014332101966469946
1643.0,2023-01-21 20:21:59.999,2.0,,0.0,0.0,,,0.41215,0.00018144,246153.0,410436137.77,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1644.0,2023-01-21 20:22:59.999,2.0,,0.0,0.0,,,0.4115,0.00018118,504909.0,202275489.73,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1645.0,2023-01-21 20:23:59.999,2.0,,0.0,0.0,,,0.41195,0.000181545,428454.0,126477871.15,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
1646.0,2023-01-21 20:24:59.999,2.0,,0.0,0.0,,,0.41195,0.0001816,102417.0,71883844.08,0.0,10014.33210196647,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0014332101966469946
