index,close_time,transaction_id,positions,NEARUSDT_units,DOTUSDT_units,entry_NEARUSDT_price,entry_DOTUSDT_price,historical_NEARUSDT_mid,historical_DOTUSDT_mid,historical_NEARUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,DOTUSDT_raw_pnl,NEARUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
934.0,2023-01-21 05:45:59.999,,,0.0,0.0,,,2.3575,6.242,3456.8,1490.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
935.0,2023-01-21 05:46:59.999,,,0.0,0.0,,,2.355,6.237500000000001,3401.2,1484.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
936.0,2023-01-21 05:47:59.999,,,0.0,0.0,,,2.353,6.235,10336.7,203.43,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
937.0,2023-01-21 05:48:59.999,,,0.0,0.0,,,2.353,6.2365,6075.2,389.96,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
938.0,2023-01-21 05:49:59.999,,,0.0,0.0,,,2.3545,6.2345,3005.2,391.72,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
939.0,2023-01-21 05:50:59.999,,,0.0,0.0,,,2.3565,6.234,6186.0,1889.11,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
940.0,2023-01-21 05:51:59.999,,,0.0,0.0,,,2.357,6.2305,2898.6,715.19,4.0,10000,0,0,0,0,0,0,0,0.0,0.0
941.0,2023-01-21 05:52:59.999,,,0.0,0.0,,,2.3545,6.2295,2583.6,1208.69,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
942.0,2023-01-21 05:53:59.999,,,0.0,0.0,,,2.353,6.2285,13972.5,2473.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
943.0,2023-01-21 05:54:59.999,,,0.0,0.0,,,2.35,6.220000000000001,15805.7,2422.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
944.0,2023-01-21 05:55:59.999,,,0.0,0.0,,,2.3465,6.214,43978.9,5056.77,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
945.0,2023-01-21 05:56:59.999,,,0.0,0.0,,,2.35,6.22,3847.7,1461.05,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
946.0,2023-01-21 05:57:59.999,,,0.0,0.0,,,2.3495,6.2205,12232.3,2041.15,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
947.0,2023-01-21 05:58:59.999,,,0.0,0.0,,,2.3465,6.214499999999999,2679.8,726.51,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
948.0,2023-01-21 05:59:59.999,,,0.0,0.0,,,2.3455,6.214,5942.3,1813.07,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
949.0,2023-01-21 06:00:59.999,,,0.0,0.0,,,2.3495,6.2135,11611.9,2390.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
