index,close_time,transaction_id,positions,LTCUSDT_units,ATOMUSDT_units,entry_LTCUSDT_price,entry_ATOMUSDT_price,historical_LTCUSDT_mid,historical_ATOMUSDT_mid,historical_LTCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LTCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1036.0,2023-01-21 07:49:59.999,,,0.0,0.0,,,90.355,13.3375,152.804,545.75,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1037.0,2023-01-21 07:50:59.999,,,0.0,0.0,,,90.38,13.332,567.792,587.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1038.0,2023-01-21 07:51:59.999,,,0.0,0.0,,,90.345,13.336,139.676,751.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1039.0,2023-01-21 07:52:59.999,,,0.0,0.0,,,90.325,13.3255,434.16,1443.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1040.0,2023-01-21 07:53:59.999,,,0.0,0.0,,,90.19,13.3005,115.444,2235.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1041.0,2023-01-21 07:54:59.999,,,0.0,0.0,,,90.11,13.2815,463.373,1780.85,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1042.0,2023-01-21 07:55:59.999,,,0.0,0.0,,,90.065,13.2865,355.27,385.46,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1043.0,2023-01-21 07:56:59.999,,,0.0,0.0,,,90.11,13.294,89.05,163.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1044.0,2023-01-21 07:57:59.999,,,0.0,0.0,,,90.12,13.2815,78.197,133.69,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1045.0,2023-01-21 07:58:59.999,,,0.0,0.0,,,90.115,13.282,70.916,420.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1046.0,2023-01-21 07:59:59.999,,,0.0,0.0,,,90.11,13.2905,62.153,837.16,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1047.0,2023-01-21 08:00:59.999,,,0.0,0.0,,,90.115,13.2975,163.967,1034.42,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1048.0,2023-01-21 08:01:59.999,,,0.0,0.0,,,90.095,13.316,261.929,1342.51,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1049.0,2023-01-21 08:02:59.999,,,0.0,0.0,,,90.09,13.319,383.998,981.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1050.0,2023-01-21 08:03:59.999,,,0.0,0.0,,,90.15,13.325,155.994,438.96,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1051.0,2023-01-21 08:04:59.999,,,0.0,0.0,,,90.165,13.327,148.692,962.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1052.0,2023-01-21 08:05:59.999,,,0.0,0.0,,,90.125,13.331499999999998,30.427,490.84,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1053.0,2023-01-21 08:06:59.999,,,0.0,0.0,,,90.165,13.333,102.21,369.64,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1054.0,2023-01-21 08:07:59.999,,,0.0,0.0,,,90.19,13.337,68.431,725.84,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1055.0,2023-01-21 08:08:59.999,,,0.0,0.0,,,90.205,13.343,107.721,515.74,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1056.0,2023-01-21 08:09:59.999,,,0.0,0.0,,,90.245,13.347,446.69,458.64,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1057.0,2023-01-21 08:10:59.999,,,0.0,0.0,,,90.35,13.347,1186.792,2729.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1058.0,2023-01-21 08:11:59.999,,,0.0,0.0,,,90.41,13.33,131.705,824.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1059.0,2023-01-21 08:12:59.999,,,0.0,0.0,,,90.54,13.338,506.439,1345.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1060.0,2023-01-21 08:13:59.999,,,0.0,0.0,,,90.595,13.341,470.821,104.54,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1061.0,2023-01-21 08:14:59.999,,,0.0,0.0,,,90.61,13.3435,301.084,412.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1062.0,2023-01-21 08:15:59.999,,,0.0,0.0,,,90.585,13.331499999999998,239.568,532.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1063.0,2023-01-21 08:16:59.999,,,0.0,0.0,,,90.545,13.316,558.017,984.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1064.0,2023-01-21 08:17:59.999,,,0.0,0.0,,,90.69,13.327,692.765,185.06,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1065.0,2023-01-21 08:18:59.999,,,0.0,0.0,,,90.605,13.336,160.462,146.95,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1066.0,2023-01-21 08:19:59.999,,,0.0,0.0,,,90.53,13.3355,241.486,390.97,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1067.0,2023-01-21 08:20:59.999,,,0.0,0.0,,,90.49,13.3325,169.394,586.72,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1068.0,2023-01-21 08:21:59.999,,,0.0,0.0,,,90.42,13.322500000000002,167.275,645.81,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1069.0,2023-01-21 08:22:59.999,,,0.0,0.0,,,90.415,13.3145,107.165,146.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1070.0,2023-01-21 08:23:59.999,,,0.0,0.0,,,90.4,13.307,238.355,902.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1071.0,2023-01-21 08:24:59.999,,,0.0,0.0,,,90.345,13.303,83.841,136.35,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1072.0,2023-01-21 08:25:59.999,,,0.0,0.0,,,90.295,13.296,165.968,240.92,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1073.0,2023-01-21 08:26:59.999,,,0.0,0.0,,,90.24,13.2825,131.875,2590.13,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1074.0,2023-01-21 08:27:59.999,,,0.0,0.0,,,90.245,13.275,156.735,698.05,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1075.0,2023-01-21 08:28:59.999,,,0.0,0.0,,,90.235,13.2675,121.149,409.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1076.0,2023-01-21 08:29:59.999,,,0.0,0.0,,,90.145,13.2615,428.742,867.93,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1077.0,2023-01-21 08:30:59.999,,,0.0,0.0,,,90.155,13.264,166.754,711.58,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1078.0,2023-01-21 08:31:59.999,,,0.0,0.0,,,90.19,13.2785,260.727,1651.54,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1079.0,2023-01-21 08:32:59.999,,,0.0,0.0,,,90.2,13.286,121.599,202.06,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
