index,close_time,transaction_id,positions,NEARUSDT_units,JASMYUSDT_units,entry_NEARUSDT_price,entry_JASMYUSDT_price,historical_NEARUSDT_mid,historical_JASMYUSDT_mid,historical_NEARUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,JASMYUSDT_raw_pnl,NEARUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1629.0,2023-01-21 17:20:59.999,,,0.0,0.0,,,2.3805,0.0051565,5132.2,307099.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1630.0,2023-01-21 17:21:59.999,,,0.0,0.0,,,2.378,0.0051535,8293.0,1014996.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1631.0,2023-01-21 17:22:59.999,,,0.0,0.0,,,2.378,0.00515,5350.2,2164704.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1632.0,2023-01-21 17:23:59.999,,,0.0,0.0,,,2.378,0.0051485,693.7,114273.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1633.0,2023-01-21 17:24:59.999,,,0.0,0.0,,,2.3745000000000003,0.0051475,18477.5,996184.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1634.0,2023-01-21 17:25:59.999,,,0.0,0.0,,,2.3735,0.0051465,1201.3,303321.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1635.0,2023-01-21 17:26:59.999,,,0.0,0.0,,,2.3735,0.0051465,1371.7,900774.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1636.0,2023-01-21 17:27:59.999,,,0.0,0.0,,,2.3725,0.005148,5459.6,183989.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1637.0,2023-01-21 17:28:59.999,,,0.0,0.0,,,2.377,0.005154,2997.4,827402.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1638.0,2023-01-21 17:29:59.999,,,0.0,0.0,,,2.377,0.005156,4857.7,430248.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1639.0,2023-01-21 17:30:59.999,,,0.0,0.0,,,2.3715,0.005153,24485.4,2708738.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1640.0,2023-01-21 17:31:59.999,,,0.0,0.0,,,2.3695,0.005149,8744.3,849768.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1641.0,2023-01-21 17:32:59.999,,,0.0,0.0,,,2.3695,0.0051515,6055.7,326047.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1642.0,2023-01-21 17:33:59.999,,,0.0,0.0,,,2.3680000000000003,0.005155,5351.1,348510.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1643.0,2023-01-21 17:34:59.999,,,0.0,0.0,,,2.3695000000000004,0.005156,182.9,1548873.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1644.0,2023-01-21 17:35:59.999,,,0.0,0.0,,,2.3695,0.00516,1887.9,67725.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1645.0,2023-01-21 17:36:59.999,,,0.0,0.0,,,2.3710000000000004,0.0051605,2670.9,51127.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1646.0,2023-01-21 17:37:59.999,,,0.0,0.0,,,2.374,0.0051655,2862.4,2166454.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1647.0,2023-01-21 17:38:59.999,,,0.0,0.0,,,2.375,0.005171,2530.6,481396.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1648.0,2023-01-21 17:39:59.999,,,0.0,0.0,,,2.3815,0.0051765,24226.2,709296.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1649.0,2023-01-21 17:40:59.999,,,0.0,0.0,,,2.3885,0.0051775,3806.0,424098.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1650.0,2023-01-21 17:41:59.999,,,0.0,0.0,,,2.388,0.005178,4232.7,934645.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1651.0,2023-01-21 17:42:59.999,,,0.0,0.0,,,2.385,0.005167,6232.3,6370967.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1652.0,2023-01-21 17:43:59.999,,,0.0,0.0,,,2.386,0.0051685,939.6,584329.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1653.0,2023-01-21 17:44:59.999,,,0.0,0.0,,,2.384,0.005164,1787.3,802841.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1654.0,2023-01-21 17:45:59.999,,,0.0,0.0,,,2.3825,0.0051649999999999,3380.7,22925.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1655.0,2023-01-21 17:46:59.999,,,0.0,0.0,,,2.3825,0.005167,3821.1,120854.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1656.0,2023-01-21 17:47:59.999,,,0.0,0.0,,,2.3815,0.005168,1383.5,646035.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
