index,close_time,transaction_id,positions,ETHUSDT_units,SHIBUSDT_units,entry_ETHUSDT_price,entry_SHIBUSDT_price,historical_ETHUSDT_mid,historical_SHIBUSDT_mid,historical_ETHUSDT_vol,historical_SHIBUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,SHIBUSDT_raw_pnl,ETHUSDT_cost,SHIBUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1289.0,2023-01-21 14:12:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.51,1.208e-05,598.0433,2179897353.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1290.0,2023-01-21 14:13:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.4,1.208e-05,164.0693,3305026165.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1291.0,2023-01-21 14:14:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.65,1.208e-05,174.0998,4266096340.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1292.0,2023-01-21 14:15:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.41,1.209e-05,90.5324,3826562395.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1293.0,2023-01-21 14:16:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.09,1.209e-05,165.479,1659623796.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1294.0,2023-01-21 14:17:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1647.535,1.208e-05,147.6807,1804197492.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1295.0,2023-01-21 14:18:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1647.44,1.208e-05,155.0511,1537213838.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1296.0,2023-01-21 14:19:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1648.76,1.209e-05,304.4215,1893632423.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1297.0,2023-01-21 14:20:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.505,1.21e-05,154.521,2025971688.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1298.0,2023-01-21 14:21:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.135,1.2095e-05,78.1461,6713494700.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1299.0,2023-01-21 14:22:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1649.215,1.2095e-05,86.3642,1785620489.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
