index,close_time,transaction_id,positions,XRPUSDT_units,TRXUSDT_units,entry_XRPUSDT_price,entry_TRXUSDT_price,historical_XRPUSDT_mid,historical_TRXUSDT_mid,historical_XRPUSDT_vol,historical_TRXUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,TRXUSDT_raw_pnl,XRPUSDT_cost,TRXUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2014.0,2023-01-22 02:32:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4013,0.061665,225263.0,47707.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2015.0,2023-01-22 02:33:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40175,0.061665,220289.0,43098.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2016.0,2023-01-22 02:34:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40175,0.0617,63403.0,186152.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2017.0,2023-01-22 02:35:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40205,0.06174,30128.0,38085.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2018.0,2023-01-22 02:36:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4018,0.061715,132639.0,190921.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019.0,2023-01-22 02:37:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4014999999999999,0.061675,166081.0,13241.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2020.0,2023-01-22 02:38:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4017,0.061675,109883.0,29610.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2021.0,2023-01-22 02:39:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.402,0.06166,287416.0,86145.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2022.0,2023-01-22 02:40:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4016,0.061635,174286.0,120757.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2023.0,2023-01-22 02:41:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4014999999999999,0.0616199999999999,116733.0,44064.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2024.0,2023-01-22 02:42:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40165,0.061615,146859.0,15563.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2025.0,2023-01-22 02:43:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4014,0.06161,117475.0,67812.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2026.0,2023-01-22 02:44:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40045,0.06152,2353175.0,1788772.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2027.0,2023-01-22 02:45:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4004,0.06145,848836.0,411895.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2028.0,2023-01-22 02:46:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4012,0.06151,192729.0,102155.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2029.0,2023-01-22 02:47:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40135,0.06152,47792.0,330950.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2030.0,2023-01-22 02:48:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4015999999999999,0.06155,277876.0,448406.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2031.0,2023-01-22 02:49:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40175,0.061545,209609.0,432143.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2032.0,2023-01-22 02:50:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40185,0.061515,59960.0,183809.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2033.0,2023-01-22 02:51:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.402,0.061505,108964.0,134612.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2034.0,2023-01-22 02:52:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4021,0.06153,94152.0,69602.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2035.0,2023-01-22 02:53:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40205,0.06151,93551.0,36619.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2036.0,2023-01-22 02:54:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40205,0.06148,60057.0,279287.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2037.0,2023-01-22 02:55:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40205,0.061475,46909.0,371780.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2038.0,2023-01-22 02:56:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.402,0.06145,111792.0,137761.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2039.0,2023-01-22 02:57:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4021,0.06145,80217.0,41170.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2040.0,2023-01-22 02:58:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4019,0.061425,58701.0,194198.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2041.0,2023-01-22 02:59:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4018,0.061415,36831.0,37604.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2042.0,2023-01-22 03:00:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40195,0.061425,41062.0,64882.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2043.0,2023-01-22 03:01:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4021,0.06143,79797.0,41648.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2044.0,2023-01-22 03:02:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40215,0.06141,122126.0,1664263.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2045.0,2023-01-22 03:03:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40235,0.06136,59254.0,2175390.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2046.0,2023-01-22 03:04:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4024999999999999,0.061305,130992.0,2265677.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2047.0,2023-01-22 03:05:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40265,0.061265,95422.0,416661.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2048.0,2023-01-22 03:06:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40285,0.061255,48126.0,998784.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2049.0,2023-01-22 03:07:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40305,0.061245,129353.0,506074.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2050.0,2023-01-22 03:08:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4031,0.061245,101867.0,169631.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2051.0,2023-01-22 03:09:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4031,0.061215,81441.0,1733294.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2052.0,2023-01-22 03:10:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40315,0.061145,135354.0,2983768.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2053.0,2023-01-22 03:11:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40315,0.06108,33666.0,1306736.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2054.0,2023-01-22 03:12:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4033,0.061045,75448.0,1016366.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2055.0,2023-01-22 03:13:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40345,0.06103,19467.0,728129.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2056.0,2023-01-22 03:14:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4034999999999999,0.06105,40682.0,1481973.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2057.0,2023-01-22 03:15:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40355,0.061065,12029.0,1441687.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2058.0,2023-01-22 03:16:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4034999999999999,0.06098,303389.0,2296546.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
