index,close_time,transaction_id,positions,LINKUSDT_units,ATOMUSDT_units,entry_LINKUSDT_price,entry_ATOMUSDT_price,historical_LINKUSDT_mid,historical_ATOMUSDT_mid,historical_LINKUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LINKUSDT_raw_pnl,ATOMUSDT_raw_pnl,LINKUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1823.0,2023-01-21 23:01:59.999,4.0,,0.0,0.0,,,6.975,13.2175,16798.33,1688.35,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1824.0,2023-01-21 23:02:59.999,4.0,,0.0,0.0,,,6.984500000000001,13.27,5187.15,1443.33,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1825.0,2023-01-21 23:03:59.999,4.0,,0.0,0.0,,,6.976000000000001,13.257,7142.29,2380.85,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1826.0,2023-01-21 23:04:59.999,4.0,,0.0,0.0,,,6.984500000000001,13.2935,3212.31,3320.02,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1827.0,2023-01-21 23:05:59.999,4.0,,0.0,0.0,,,6.9795,13.31,1393.42,1614.22,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1828.0,2023-01-21 23:06:59.999,4.0,,0.0,0.0,,,6.978999999999999,13.3245,3279.78,1284.65,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1829.0,2023-01-21 23:07:59.999,4.0,,0.0,0.0,,,6.980499999999999,13.33,956.04,1834.09,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1830.0,2023-01-21 23:08:59.999,4.0,,0.0,0.0,,,6.993,13.361,3779.9,1751.96,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1831.0,2023-01-21 23:09:59.999,4.0,,0.0,0.0,,,6.999499999999999,13.3775,2116.66,2054.33,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1832.0,2023-01-21 23:10:59.999,4.0,,0.0,0.0,,,6.995,13.359,314.05,716.59,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1833.0,2023-01-21 23:11:59.999,4.0,,0.0,0.0,,,6.999499999999999,13.3525,2428.1,379.15,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1834.0,2023-01-21 23:12:59.999,4.0,,0.0,0.0,,,6.9955,13.3365,479.44,1062.47,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1835.0,2023-01-21 23:13:59.999,4.0,,0.0,0.0,,,6.9975000000000005,13.324,862.11,482.59,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1836.0,2023-01-21 23:14:59.999,4.0,,0.0,0.0,,,7.0,13.336,156.16,539.0,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1837.0,2023-01-21 23:15:59.999,4.0,,0.0,0.0,,,6.998,13.326,4508.73,1084.86,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1838.0,2023-01-21 23:16:59.999,4.0,,0.0,0.0,,,6.996,13.309,397.32,517.28,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1839.0,2023-01-21 23:17:59.999,4.0,,0.0,0.0,,,6.9885,13.2945,3201.85,720.92,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1840.0,2023-01-21 23:18:59.999,4.0,,0.0,0.0,,,6.973,13.2695,8134.99,13023.45,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1841.0,2023-01-21 23:19:59.999,4.0,,0.0,0.0,,,6.9725,13.269,418.17,1645.81,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1842.0,2023-01-21 23:20:59.999,4.0,,0.0,0.0,,,6.955,13.2385,19039.29,7034.99,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1843.0,2023-01-21 23:21:59.999,4.0,,0.0,0.0,,,6.939,13.209,8963.8,2482.82,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1844.0,2023-01-21 23:22:59.999,4.0,,0.0,0.0,,,6.9215,13.1685,5642.34,2840.03,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1845.0,2023-01-21 23:23:59.999,4.0,,0.0,0.0,,,6.913,13.126,10235.02,7109.92,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1846.0,2023-01-21 23:24:59.999,4.0,,0.0,0.0,,,6.9245,13.145,3681.86,2415.66,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1847.0,2023-01-21 23:25:59.999,4.0,,0.0,0.0,,,6.928,13.144,2981.73,5109.46,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1848.0,2023-01-21 23:26:59.999,4.0,,0.0,0.0,,,6.9350000000000005,13.143,183.4,657.14,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1849.0,2023-01-21 23:27:59.999,4.0,,0.0,0.0,,,6.919499999999999,13.0975,1831.37,4670.05,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1850.0,2023-01-21 23:28:59.999,4.0,,0.0,0.0,,,6.8935,13.036,9397.74,7461.72,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1851.0,2023-01-21 23:29:59.999,4.0,,0.0,0.0,,,6.907,13.069,2996.68,2752.96,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1852.0,2023-01-21 23:30:59.999,4.0,,0.0,0.0,,,6.904999999999999,13.0915,1317.24,1373.79,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1853.0,2023-01-21 23:31:59.999,4.0,,0.0,0.0,,,6.9125,13.103,4224.38,1022.42,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1854.0,2023-01-21 23:32:59.999,4.0,,0.0,0.0,,,6.9285,13.1405,4833.36,4876.95,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1855.0,2023-01-21 23:33:59.999,4.0,,0.0,0.0,,,6.9255,13.1555,5115.44,2332.99,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1856.0,2023-01-21 23:34:59.999,4.0,,0.0,0.0,,,6.9055,13.1435,2937.63,1438.16,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1857.0,2023-01-21 23:35:59.999,4.0,,0.0,0.0,,,6.908,13.1635,2190.43,2635.44,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1858.0,2023-01-21 23:36:59.999,4.0,,0.0,0.0,,,6.906,13.187,1642.89,3296.34,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1859.0,2023-01-21 23:37:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.897,13.2115,16000.98,3043.14,2.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,1,0.0,0.002043156909694588
1860.0,2023-01-21 23:38:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.904999999999999,13.239,1791.23,1819.67,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1861.0,2023-01-21 23:39:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.899,13.2405,3650.55,1220.29,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1862.0,2023-01-21 23:40:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.891,13.214,1930.14,1710.39,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1863.0,2023-01-21 23:41:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.876,13.1795,9596.0,3194.57,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1864.0,2023-01-21 23:42:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8705,13.162,1337.52,915.13,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1865.0,2023-01-21 23:43:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.866,13.147,1330.27,596.86,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1866.0,2023-01-21 23:44:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.846500000000001,13.121,13548.6,2329.27,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1867.0,2023-01-21 23:45:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.845,13.099,11068.12,2667.05,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
